"ExperimentName","Subject","Session","SessionDate","SessionTime","Block","metablock","TaskType","Trial","CorrectResponse","ITIs","left_stim","right_stim","task.ACC","task.RESP","task.RT","run"
"Matching_Run1",4,1,"05-12-2015",17:16:07,4,5,"ShapeMatching",2,1,1,"S7","S7",1,1,1036,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,4,5,"ShapeMatching",3,1,3,"S2","S2",1,1,1496,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,4,5,"ShapeMatching",4,1,1,"S5","S5",1,1,1300,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,4,5,"ShapeMatching",5,2,3,"S3","S4",0,NA,0,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,4,5,"ShapeMatching",6,2,2,"S5","S6",1,2,1592,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,5,3,"NumberMatching",1,2,3,"N3","D5_2",1,2,1766,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,5,3,"NumberMatching",2,2,2,"D6_1","N3",1,2,2074,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,5,3,"NumberMatching",3,1,1,"D4_2","N4",1,1,2003,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,5,3,"NumberMatching",4,1,3,"D8_2","N8",0,NA,0,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,5,3,"NumberMatching",5,2,1,"D8_1","N5",1,2,2094,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,5,3,"NumberMatching",6,1,2,"D2_2","N2",1,1,1799,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,6,1,"NumberMatching",1,1,3,"N9","D9_1",1,1,3202,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,6,1,"NumberMatching",2,2,1,"N7","D4_2",1,2,1782,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,6,1,"NumberMatching",3,1,2,"N1","D1_1",1,1,1531,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,6,1,"NumberMatching",4,2,3,"N1","D4_2",0,1,2371,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,6,1,"NumberMatching",5,2,2,"D2_1","N5",0,NA,0,1
"Matching_Run1",4,1,"05-12-2015",17:16:07,6,1,"NumberMatching",6,2,1,"N5","D1_2",0,NA,0,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,1,3,"NumberMatching",1,2,3,"N3","D5_2",1,2,1398,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,1,3,"NumberMatching",2,1,2,"D6_2","N6",1,1,2151,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,1,3,"NumberMatching",3,2,1,"N5","D1_2",1,2,933,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,1,3,"NumberMatching",4,1,3,"N9","D9_1",1,1,2582,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,1,3,"NumberMatching",5,2,2,"D2_1","N5",1,2,872,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,1,3,"NumberMatching",6,2,1,"N9","D7_2",1,2,2248,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,2,1,"NumberMatching",1,1,3,"N1","D1_1",1,1,1522,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,2,1,"NumberMatching",2,1,2,"D4_2","N4",1,1,1280,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,2,1,"NumberMatching",3,2,1,"D8_1","N5",1,2,1135,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,2,1,"NumberMatching",4,1,3,"N3","D3_1",1,1,834,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,2,1,"NumberMatching",5,1,2,"N7","D7_1",0,NA,0,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,2,1,"NumberMatching",6,2,1,"N1","D4_2",0,1,40,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,3,5,"ShapeMatching",1,1,3,"S8","S8",1,1,944,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,3,5,"ShapeMatching",2,1,1,"S6","S6",1,1,696,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,3,5,"ShapeMatching",3,1,2,"S9","S9",1,1,725,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,3,5,"ShapeMatching",4,2,3,"S9","S1",1,2,867,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,3,5,"ShapeMatching",5,2,1,"S8","S9",1,2,1402,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,3,5,"ShapeMatching",6,2,2,"S4","S5",1,2,912,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,4,6,"ShapeMatching",1,2,3,"S7","S8",1,2,1119,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,4,6,"ShapeMatching",2,1,2,"S7","S7",1,1,1440,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,4,6,"ShapeMatching",3,1,1,"S5","S5",1,1,1468,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,4,6,"ShapeMatching",4,2,3,"S1","S2",1,2,1222,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,4,6,"ShapeMatching",5,2,1,"S6","S7",1,2,865,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,4,6,"ShapeMatching",6,2,2,"S3","S4",1,2,931,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,5,2,"NumberMatching",1,1,1,"D2_2","N2",1,1,1160,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,5,2,"NumberMatching",2,2,3,"D4_1","N8",1,2,971,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,5,2,"NumberMatching",3,2,2,"D6_1","N3",1,2,1096,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,5,2,"NumberMatching",4,1,1,"N5","D5_1",1,1,1254,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,5,2,"NumberMatching",5,1,3,"D8_2","N8",1,1,2120,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,5,2,"NumberMatching",6,2,2,"N7","D4_2",1,2,847,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,6,4,"ShapeMatching",1,1,1,"S4","S4",1,1,966,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,6,4,"ShapeMatching",2,2,2,"S2","S3",1,2,880,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,6,4,"ShapeMatching",3,1,3,"S3","S3",1,1,948,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,6,4,"ShapeMatching",4,1,1,"S1","S1",1,1,877,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,6,4,"ShapeMatching",5,2,2,"S5","S6",1,2,1193,1
"Matching_Run1",5,1,"05-12-2015",18:22:29,6,4,"ShapeMatching",6,1,3,"S2","S2",1,1,838,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,1,4,"ShapeMatching",1,1,2,"S1","S1",1,1,1261,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,1,4,"ShapeMatching",2,2,3,"S5","S6",1,2,1610,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,1,4,"ShapeMatching",3,2,1,"S2","S3",1,2,1291,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,1,4,"ShapeMatching",4,1,2,"S3","S3",0,2,1915,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,1,4,"ShapeMatching",5,2,3,"S7","S8",1,2,1878,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,1,4,"ShapeMatching",6,1,1,"S9","S9",1,1,2009,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,2,2,"NumberMatching",1,2,2,"D2_1","N5",0,NA,0,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,2,2,"NumberMatching",2,2,1,"N9","D7_2",0,NA,0,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,2,2,"NumberMatching",3,2,3,"D6_1","N3",1,2,1522,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,2,2,"NumberMatching",4,2,2,"N7","D4_2",1,2,2419,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,2,2,"NumberMatching",5,1,3,"N5","D5_1",1,1,2411,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,2,2,"NumberMatching",6,1,1,"N3","D3_1",1,1,1302,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,3,3,"NumberMatching",1,2,2,"N1","D4_2",1,2,1858,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,3,3,"NumberMatching",2,2,1,"N5","D1_2",1,2,2447,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,3,3,"NumberMatching",3,1,3,"N1","D1_1",1,1,1431,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,3,3,"NumberMatching",4,1,1,"D2_2","N2",1,1,1304,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,3,3,"NumberMatching",5,1,2,"N9","D9_1",1,1,1581,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,3,3,"NumberMatching",6,1,3,"D6_2","N6",0,2,2066,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,4,1,"NumberMatching",1,2,2,"D8_1","N5",1,2,1696,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,4,1,"NumberMatching",2,1,3,"D4_2","N4",1,1,1498,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,4,1,"NumberMatching",3,2,1,"D4_1","N8",1,2,1367,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,4,1,"NumberMatching",4,2,2,"N3","D5_2",1,2,1504,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,4,1,"NumberMatching",5,1,1,"N7","D7_1",0,2,1686,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,4,1,"NumberMatching",6,1,3,"D8_2","N8",1,1,1101,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,5,6,"ShapeMatching",1,2,2,"S3","S4",1,2,2198,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,5,6,"ShapeMatching",2,1,1,"S7","S7",1,1,1796,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,5,6,"ShapeMatching",3,1,3,"S4","S4",1,1,1138,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,5,6,"ShapeMatching",4,2,2,"S1","S2",0,NA,0,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,5,6,"ShapeMatching",5,2,1,"S4","S5",0,1,1657,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,5,6,"ShapeMatching",6,1,3,"S6","S6",1,1,914,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,6,5,"ShapeMatching",1,1,2,"S2","S2",1,1,2269,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,6,5,"ShapeMatching",2,2,3,"S8","S9",1,2,1986,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,6,5,"ShapeMatching",3,2,1,"S6","S7",1,2,1976,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,6,5,"ShapeMatching",4,1,3,"S5","S5",1,1,2071,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,6,5,"ShapeMatching",5,1,2,"S8","S8",1,1,1709,1
"Matching_Run1",6,1,"05-23-2015",14:41:28,6,5,"ShapeMatching",6,2,1,"S9","S1",1,2,1891,1
"Matching_Run1",7,1,"06-28-2015",10:59:29,1,2,"NumberMatching",1,1,2,"D8_2","N8",0,NA,0,1
"Matching_Run1",7,1,"06-28-2015",10:59:29,1,2,"NumberMatching",2,1,1,"N1","D1_1",1,1,1289,1
